x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
1308;376;1355;454;[     105.07      193.36      107.63];79.1;190.34;617;731;1;79.1;104.07;A;(255, 0, 0);4;5;1331;415;1035.0;598.5
1566;590;1616;704;[     94.957      60.132      155.58];64.52;77.56;617;756;1;64.52;104.07;A;(255, 0, 0);4;5;1591;647;1035.0;598.5
1171;608;1236;729;[      97.72      36.367       233.3];135.0;15.22;617;765;1;15.22;104.07;B;(0, 255, 0);4;5;1203;668;1051.6;598.6
1491;535;1555;655;[     99.046      40.279      234.26];133.46;11.54;617;801;1;11.54;104.07;B;(0, 255, 0);4;5;1523;595;1051.6;598.6
660;616;716;726;[      103.1      42.436      229.79];128.5;7.33;618;723;1;7.33;105.72;B;(0, 255, 0);4;5;688;671;1054.6;598.0
817;520;878;636;[     102.09      38.091      241.59];140.7;15.33;618;725;1;15.33;105.72;B;(0, 255, 0);4;5;847;578;1054.6;598.0
690;567;756;679;[     100.26      82.471       132.3];34.63;104.9;618;726;1;34.63;105.72;A;(255, 0, 0);4;5;723;623;1039.5;596.75
1631;596;1682;713;[     173.32      193.25      177.55];117.14;168.11;618;727;1;117.14;105.72;X;(0, 0, 255);4;5;1656;654;1656.0;654.0
984;432;1028;531;[     95.152      27.628      248.05];152.16;29.12;618;728;1;29.12;105.72;B;(0, 255, 0);4;5;1006;481;1054.6;598.0
473;638;538;769;[     110.98       206.7      112.38];91.76;197.82;618;730;1;91.76;105.72;A;(255, 0, 0);4;5;505;703;1039.5;596.75
1309;376;1357;454;[     106.99      140.55      143.02];30.94;127.44;618;731;1;30.94;105.72;A;(255, 0, 0);4;5;1333;415;1039.5;596.75
1572;588;1623;705;[     89.727      48.226      155.88];75.94;77.38;618;756;1;75.94;105.72;A;(255, 0, 0);4;5;1597;646;1039.5;596.75
1174;605;1241;727;[     102.08      37.178      224.96];127.76;13.97;618;765;1;13.97;105.72;B;(0, 255, 0);4;5;1207;666;1054.6;598.0
1493;535;1558;654;[     97.952      39.989      235.06];134.32;12.67;618;801;1;12.67;105.72;B;(0, 255, 0);4;5;1525;594;1054.6;598.0
664;614;721;727;[     101.44      37.784      236.99];137.08;13.25;619;723;1;13.25;103.82;B;(0, 255, 0);4;5;692;670;1058.0;597.2
820;519;881;635;[     100.04      37.661      241.74];141.09;16.41;619;725;1;16.41;103.82;B;(0, 255, 0);4;5;850;577;1058.0;597.2
695;568;759;673;[     91.257      76.626      129.42];41.46;106.83;619;726;1;41.46;103.82;A;(255, 0, 0);4;5;727;620;1044.25;594.5
1641;593;1691;704;[     173.47         193      177.89];117.21;167.85;619;727;1;117.21;103.82;X;(0, 0, 255);4;5;1666;648;1666.0;648.0
990;432;1035;533;[     94.958      27.653      247.49];151.7;28.86;619;728;1;28.86;103.82;B;(0, 255, 0);4;5;1012;482;1058.0;597.2
478;637;540;761;[     110.46      199.31      108.77];85.01;194.22;619;730;1;85.01;103.82;A;(255, 0, 0);4;5;509;699;1044.25;594.5
1315;376;1363;453;[     106.34      202.31      110.19];87.45;195.63;619;731;1;87.45;103.82;A;(255, 0, 0);4;5;1339;414;1044.25;594.5
1576;588;1629;703;[     88.441      45.629      152.81];77.32;80.72;619;756;1;77.32;103.82;A;(255, 0, 0);4;5;1602;645;1044.25;594.5
1176;604;1241;720;[     98.713      36.867      233.86];135.12;14.35;619;765;1;14.35;103.82;B;(0, 255, 0);4;5;1208;662;1058.0;597.2
1495;535;1562;656;[     98.061      40.218      234.29];133.55;12.23;619;801;1;12.23;103.82;B;(0, 255, 0);4;5;1528;595;1058.0;597.2
