x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
751;519;795;637;[     100.66      35.532      235.69];138.31;15.02;521;725;1;15.02;85.03;B;(0, 255, 0);6;5;773;578;821.2;622.0
560;513;606;621;[     81.316      57.077      140.58];65.97;94.65;521;726;1;65.97;85.03;A;(255, 0, 0);6;5;583;567;945.17;707.5
1310;599;1349;715;[     101.83      138.05       55.06];72.08;197.77;521;727;1;72.08;85.03;X;(0, 0, 255);6;5;1329;657;1329.0;657.0
509;474;566;581;[     100.58       33.61      233.83];137.97;16.4;521;728;1;16.4;85.03;B;(0, 255, 0);6;5;537;527;821.2;622.0
1003;1035;1044;1079;[     106.34      144.44      62.694];67.22;194.01;521;729;1;67.22;85.03;A;(255, 0, 0);6;5;1023;1057;945.17;707.5
378;729;452;859;[     94.794      81.287      115.79];37.67;120.72;521;730;1;37.67;85.03;A;(255, 0, 0);6;5;415;794;945.17;707.5
1005;293;1043;369;[     82.316      54.589      161.08];75.59;74.61;521;731;1;74.61;85.03;A;(255, 0, 0);6;5;1024;331;945.17;707.5
1157;576;1204;659;[      108.7      204.66      127.21];87.8;187.54;521;756;1;87.8;85.03;A;(255, 0, 0);6;5;1180;617;945.17;707.5
963;653;1007;770;[     106.28      44.866      237.06];134.19;6.82;521;765;1;6.82;85.03;B;(0, 255, 0);6;5;985;711;821.2;622.0
1410;812;1474;952;[     104.44      184.23      98.845];71.7;189.58;522;722;1;71.7;85.74;A;(255, 0, 0);6;6;1442;882;940.83;709.83
393;684;430;755;[     108.08      53.218      229.31];123.26;5.24;522;723;1;5.24;85.74;B;(0, 255, 0);6;6;411;719;874.67;613.5
1366;526;1425;611;[     71.685      40.315      120.24];83.05;116.83;522;724;1;83.05;85.74;B;(0, 255, 0);6;6;1395;568;874.67;613.5
744;520;789;638;[     100.92      34.886      235.99];138.93;15.58;522;725;1;15.58;85.74;B;(0, 255, 0);6;6;766;579;874.67;613.5
554;516;601;626;[     86.099      57.537      139.09];63.75;94.99;522;726;1;63.75;85.74;A;(255, 0, 0);6;6;577;571;940.83;709.83
1308;602;1348;717;[     102.38      141.03      57.168];71.0;197.26;522;727;1;71.0;85.74;X;(0, 0, 255);6;6;1328;659;1328.0;659.0
504;474;560;581;[     101.21      32.366       235.2];139.81;17.6;522;728;1;17.6;85.74;B;(0, 255, 0);6;6;532;527;874.67;613.5
1003;1039;1042;1079;[     106.22      140.73      65.038];63.61;190.15;522;729;1;63.61;85.74;A;(255, 0, 0);6;6;1022;1059;940.83;709.83
367;734;437;861;[     90.967      72.079      114.39];47.61;120.38;522;730;1;47.61;85.74;A;(255, 0, 0);6;6;402;797;940.83;709.83
1000;296;1037;372;[     106.02      196.75      113.44];80.4;189.28;522;731;1;80.4;85.74;A;(255, 0, 0);6;6;1018;334;940.83;709.83
1159;573;1209;660;[     108.23      206.66      127.65];89.78;188.96;522;756;1;89.78;85.74;A;(255, 0, 0);6;6;1184;616;940.83;709.83
957;653;1001;771;[     106.22      45.013      234.03];131.57;4.56;522;765;1;4.56;85.74;B;(0, 255, 0);6;6;979;712;874.67;613.5
1141;543;1189;610;[     99.348      54.468      225.95];119.7;10.55;522;807;1;10.55;85.74;B;(0, 255, 0);6;6;1165;576;874.67;613.5
1406;815;1473;955;[     104.14      185.99      98.057];73.63;191.39;523;722;1;73.63;88.72;A;(255, 0, 0);6;6;1439;885;936.83;711.33
386;683;426;759;[     107.42      51.294      233.88];128.14;3.63;523;723;1;3.63;88.72;B;(0, 255, 0);6;6;406;721;871.5;614.83
1364;525;1424;612;[      70.49       41.12      118.96];82.84;118.34;523;724;1;82.84;88.72;B;(0, 255, 0);6;6;1394;568;871.5;614.83
737;520;782;639;[     100.52      34.983      234.91];138.01;15.37;523;725;1;15.37;88.72;B;(0, 255, 0);6;6;759;579;871.5;614.83
548;519;597;628;[     87.731       61.09      142.55];60.97;91.69;523;726;1;60.97;88.72;A;(255, 0, 0);6;6;572;573;936.83;711.33
1307;605;1347;720;[     102.16       152.2       56.49];76.11;203.31;523;727;1;76.11;88.72;X;(0, 0, 255);6;6;1327;662;1327.0;662.0
500;475;555;583;[     99.686      32.775      230.56];135.92;17.36;523;728;1;17.36;88.72;B;(0, 255, 0);6;6;527;529;871.5;614.83
1004;1041;1042;1079;[     104.91      140.38      66.262];62.29;188.92;523;729;1;62.29;88.72;A;(255, 0, 0);6;6;1023;1060;936.83;711.33
